"B2B Settings","Configurações B2B"
"B2B Module","Módulo B2B"
"Enable B2B Module","Habilitar Módulo B2B"
"B2B Mode","Modo B2B"
"Mixed Mode","Modo Misto"
"Strict Mode","Modo Restrito"
"Mixed - Allow B2C and B2B customers","Misto - Permitir clientes B2C e B2B"
"Strict - Only B2B customers","Restrito - Somente clientes B2B"

"Customer Approval","Aprovação de Clientes"
"Require Approval","Exigir Aprovação"
"Require approval for new B2B customers","Exigir aprovação para novos clientes B2B"
"Auto-approve Groups","Grupos Auto-aprovados"
"Customer groups that are automatically approved","Grupos de clientes que são aprovados automaticamente"
"Send Approval Email","Enviar Email de Aprovação"
"Send email when customer is approved/rejected","Enviar email quando o cliente é aprovado/rejeitado"
"Notify Admin","Notificar Admin"
"Notify admin when new B2B customer registers","Notificar admin quando novo cliente B2B se cadastra"
"Admin Email","Email do Admin"
"Email to receive new customer notifications","Email para receber notificações de novos clientes"
"Pending Message","Mensagem de Pendência"
"Message shown to pending customers","Mensagem exibida para clientes pendentes"

"Price Visibility","Visibilidade de Preços"
"Hide Prices for Guests","Ocultar Preços para Visitantes"
"Hide Add to Cart for Guests","Ocultar Botão Comprar para Visitantes"
"Show Prices for Pending","Mostrar Preços para Pendentes"
"Login Message","Mensagem de Login"
"Message shown instead of price for guests","Mensagem exibida no lugar do preço para visitantes"

"Minimum Quantity","Quantidade Mínima"
"Enable Minimum Quantity","Habilitar Quantidade Mínima"
"Global Minimum Quantity","Quantidade Mínima Global"
"Minimum Order Amount","Valor Mínimo do Pedido"
"Minimum Order Message","Mensagem de Pedido Mínimo"

"Quote Request","Solicitação de Cotação"
"Enable Quote System","Habilitar Sistema de Cotação"
"Quote Expiry Days","Dias de Validade da Cotação"
"Allow Guests to Quote","Permitir Cotação de Visitantes"
"Show Quote Button","Exibir Botão de Cotação"
"Both (Product & Cart)","Ambos (Produto e Carrinho)"
"Product Page Only","Somente Página do Produto"
"Cart Only","Somente Carrinho"
"Notify Customer on Response","Notificar Cliente na Resposta"

"Customer Groups","Grupos de Clientes"
"Default B2B Group","Grupo B2B Padrão"
"Wholesale Group","Grupo Atacado"
"Wholesale Discount (%)","Desconto Atacado (%)"
"VIP Group","Grupo VIP"
"VIP Discount (%)","Desconto VIP (%)"
"Reseller Group","Grupo Revendedor"
"Reseller Discount (%)","Desconto Revendedor (%)"

"B2B Registration","Cadastro B2B"
"Register as B2B Customer","Cadastre-se como Cliente B2B"
"B2B Customer Registration","Cadastro de Cliente B2B"
"Company Information","Informações da Empresa"
"CNPJ","CNPJ"
"Enter your company CNPJ","Digite o CNPJ da empresa"
"Razão Social","Razão Social"
"Company Legal Name","Nome Legal da Empresa"
"Nome Fantasia","Nome Fantasia"
"Trade Name","Nome Comercial"
"Inscrição Estadual","Inscrição Estadual"
"State Registration","Inscrição Estadual"
"Inscrição Municipal","Inscrição Municipal"
"Municipal Registration","Inscrição Municipal"
"Company Phone","Telefone Comercial"
"Business Phone Number","Número de Telefone Comercial"

"Contact Information","Informações de Contato"
"Contact Name","Nome do Contato"
"Full Name","Nome Completo"
"Contact Email","Email de Contato"
"Email Address","Endereço de Email"
"Password","Senha"
"Confirm Password","Confirmar Senha"
"Create Account","Criar Conta"
"Submit Registration","Enviar Cadastro"

"Person Type","Tipo de Pessoa"
"Legal Entity (PJ)","Pessoa Jurídica (PJ)"
"Individual (PF)","Pessoa Física (PF)"
"CPF","CPF"
"Enter your CPF","Digite seu CPF"

"Validation Messages","Mensagens de Validação"
