"Offline Payment Methods","Métodos de Pagamento Offline"
"Offline Payment","Pagamento Offline"
"Payment Settings","Configurações de Pagamento"
"Bank Transfer","Transferência Bancária"
"Enable Bank Transfer","Habilitar Transferência Bancária"
"Bank Transfer Information","Informações de Transferência Bancária"
"Bank transfer payment method","Método de pagamento por transferência bancária"
"Bank Name","Nome do Banco"
"Bank Branch","Agência"
"Account Number","Número da Conta"
"Account Holder","Titular da Conta"
"Account Type","Tipo de Conta"
"Checking Account","Conta Corrente"
"Savings Account","Conta Poupança"
"PIX","PIX"
"PIX Key","Chave PIX"
"PIX Key Type","Tipo de Chave PIX"
"CPF/CNPJ","CPF/CNPJ"
"Email","E-mail"
"Phone","Telefone"
"Random Key","Chave Aleatória"
"Enable PIX","Habilitar PIX"
"QR Code","QR Code"
"Generate QR Code","Gerar QR Code"
"Show QR Code on success page","Mostrar QR Code na página de sucesso"
"Boleto Bancário","Boleto Bancário"
"Enable Boleto","Habilitar Boleto"
"Boleto Provider","Provedor de Boleto"
"Due Days","Dias para Vencimento"
"Days until boleto expires","Dias até o boleto vencer"
"Instructions","Instruções"
"Late Fee (%)","Multa por Atraso (%)"
"Interest Per Day (%)","Juros ao Dia (%)"
"Minimum Amount","Valor Mínimo"
"Maximum Amount","Valor Máximo"
"Payment on Delivery","Pagamento na Entrega"
"Cash on Delivery","Dinheiro na Entrega"
"Enable Cash on Delivery","Habilitar Pagamento na Entrega"
"Card on Delivery","Cartão na Entrega"
"Accept card payment on delivery","Aceitar pagamento com cartão na entrega"
"Additional Fee","Taxa Adicional"
"Fee amount or percentage","Valor ou percentual da taxa"
"Fixed Amount","Valor Fixo"
"Percentage","Percentual"
"Order Instructions","Instruções do Pedido"
"Instructions shown to customer","Instruções exibidas ao cliente"
"Payment Confirmation","Confirmação de Pagamento"
"Require Payment Proof","Exigir Comprovante"
"Customer must upload payment proof","Cliente deve enviar comprovante de pagamento"
"Auto-approve Orders","Aprovar Pedidos Automaticamente"
"Approve orders without confirmation","Aprovar pedidos sem confirmação"
"Payment Instructions","Instruções de Pagamento"
"Please transfer the amount to:","Por favor, transfira o valor para:"
"Use the following PIX key:","Use a seguinte chave PIX:"
"Your boleto has been generated","Seu boleto foi gerado"
"Payment will be collected on delivery","Pagamento será cobrado na entrega"
"Upload Payment Proof","Enviar Comprovante"
"Upload your payment receipt","Envie seu comprovante de pagamento"
"Awaiting Payment Confirmation","Aguardando Confirmação de Pagamento"
"Payment Received","Pagamento Recebido"
"Thank you for your payment","Obrigado pelo pagamento"
