"Popular Suggestions","Sugestões Populares"
"We can't add this item to your shopping cart right now.","Não é possível adicionar este item ao carrinho agora."
"Product was successfully added to the cart","Produto adicionado ao carrinho com sucesso"
Categories,Categorias
Disable,Desativar
"In Sidebar","Na Barra Lateral"
"On Top","No Topo"
"1 Column","1 Coluna"
"2 Columns","2 Colunas"
"Full Size","Tamanho Completo"
Bottom,Rodapé
"Top and Bottom","Topo e Rodapé"
"Retrieve from the database (Fast)","Buscar do banco de dados (Rápido)"
"Retrieve using Magento (Only Final Price)","Buscar via Magento (Apenas Preço Final)"
"Retrieve using Magento (Default Display Mode)","Buscar via Magento (Modo de Exibição Padrão)"
"View all %1 results →","Ver todos os %1 resultados →"
"Sorry, nothing has been found for ""%1"".","Nenhum resultado encontrado para ""%1""."
"Mirasvit Search Autocomplete Fast Mode doesn't support MySQL search engine.","O modo rápido do Mirasvit Search Autocomplete não suporta o mecanismo de busca MySQL."
"Searchable content","Conteúdo pesquisável"
Index,Índice
"Is Enabled","Habilitado"
"Max Number of results","Número máximo de resultados"
"Add To Cart","Adicionar ao Carrinho"
"Informações do produto","Informações do produto"
"Entrar para Comprar","Entrar para Comprar"
"Faça login ou cadastre sua empresa para ver preços e comprar.","Faça login ou cadastre sua empresa para ver preços e comprar."
"View all results →","Ver todos os resultados →"
"Your search returned no results.","Sua busca não retornou resultados."
"Search entire store here...","Busque em toda a loja aqui..."
"results found in","resultados encontrados em"
sec.,seg.
"In stock","Em estoque"
"Out Of Stock","Fora de estoque"
"items","itens"
"Items","Itens"
"item","item"
"Item","Item"
"Ordenar por:","Ordenar por:"
"Search Autocomplete","Autocompletar Busca"
"General Configuration","Configuração Geral"
"Minimum number of characters to search","Número mínimo de caracteres para buscar"
"The delay before start finding","Atraso antes de iniciar a busca"
"In milliseconds, e.g. 500 means 0.5 of a second","Em milissegundos, ex: 500 significa 0,5 segundo"
"Enable TypeAhead","Habilitar TypeAhead"
"If this option is enabled, the search box will have a transparent background. It's a requirement to make this option work.","Se esta opção estiver habilitada, o campo de busca terá fundo transparente. É um requisito para que funcione."
"Products Settings","Configurações de Produtos"
"Show Price","Exibir Preço"
"Price Fetch Strategy","Estratégia de Busca de Preço"
"Show Thumbnail","Exibir Miniatura"
"Show Rating","Exibir Avaliação"
"Show Description","Exibir Descrição"
"Show SKU","Exibir SKU"
"Show ""Add to cart""","Exibir ""Adicionar ao Carrinho"""
"AJAX ""Add to cart"" button","Botão AJAX ""Adicionar ao Carrinho"""
"Show Stock Status","Exibir Status de Estoque"
Appearance,Aparência
"Search Autocomplete Layout","Layout do Autocompletar"
"Layered Navigation Position","Posição da Navegação em Camadas"
"Display Pagination","Exibir Paginação"
"Additional CSS Styles","Estilos CSS Adicionais"
"Show Popular Suggestions","Exibir Sugestões Populares"
"Search queries","Termos de busca"
"Comma separated search queries. Leave empty to show the most popular queries.","Termos separados por vírgula. Deixe vazio para mostrar os termos mais populares."
"Ignored words","Palavras ignoradas"
"Comma separated words. Ignore a query if it contains any of these words.","Palavras separadas por vírgula. Ignora uma busca que contenha alguma delas."
"Max Number of queries","Número máximo de termos"
"Your search request '<strong>%1</strong>' did not match any products.","Sua busca por '<strong>%1</strong>' não encontrou nenhum produto."
"Did you mean:","Você quis dizer:"
"Showing results using some of your search terms","Exibindo resultados usando alguns dos seus termos de busca"
"View All Brands","Ver Todas as Marcas"
"Brand Group","Grupo de Marcas"
Brands,Marcas
"Add to Cart","Adicionar ao Carrinho"
New,Novo
Next,Próximo
Previous,Anterior
Items,Itens
"%1 Item","%1 Item"
"%1 Items","%1 Itens"
"Out of stock","Fora de estoque"
"View Details","Ver Detalhes"
"Read more","Leia mais"
"Read More","Leia Mais"
"Related Posts","Posts Relacionados"
"Related Products","Produtos Relacionados"
"Search posts here...","Buscar posts aqui..."
Archive,Arquivo
Search,Buscar

"Checkout","Finalizar compra"
"Shipping Address","Endereço de entrega"
"Shipping Methods","Forma de envio"
"Shipping Method","Forma de envio"
"Payment Method","Forma de pagamento"
"Billing Address","Endereço de cobrança"
"Place Order","Confirmar pedido"
"Continue to Payment","Continuar para pagamento"
"Something went wrong with your request. Please try again later.","Não foi possível concluir esta etapa. Tente novamente em instantes."
"Qty","Qtd"
"Order Summary","Resumo do pedido"
"Order comment","Observações do pedido (opcional)"
"Ex.: referência da cotação, horário preferencial ou instruções para faturamento","Ex.: referência da cotação, horário preferencial ou instruções para faturamento"
"My billing and shipping address are the same","Usar o mesmo endereço para cobrança e entrega"
"Save in address book","Salvar endereço na minha conta"
"Save","Salvar"
"New Address","Adicionar endereço"
"Update","Atualizar"
"* Required Fields","Campos obrigatórios"
"Sorry, no quotes are available for this order at this time","Não encontramos frete para este pedido. Confira o CEP ou fale com nosso comercial."
"No Payment method available.","Nenhuma forma de pagamento disponível. Fale com o comercial se precisar concluir o pedido."
"Enter discount code","Digite o código do cupom"
"Apply Discount Code","Aplicar cupom de desconto"
"Apply Discount","Aplicar cupom"
"Cancel coupon","Remover cupom"
"Discount Code","Cupom de desconto"
"Ship Here","Entregar neste endereço"
"Ship To:","Entrega:"
"Billing To:","Cobrança:"
"Review & Payments","Pagamento"
"Payment Information","Dados de pagamento"
"Shipping Information","Dados de entrega"
"Method Title","Transportadora"
"Carrier Title","Transportadora"
"Price","Valor"
"Already registered?","Já tem cadastro?"
"You can create an account after checkout.","Você pode criar uma conta após concluir a compra."
"Guest checkout is disabled. You must login or create an account to checkout.","É necessário entrar na conta B2B para finalizar a compra."
"Loading next step...","Carregando checkout..."
"Order Review","Revisar pedido"
"Same as billing address","Mesmo endereço de cobrança"
"Concluir Pedido","Confirmar pedido"
"Review shipping address","Revisar endereço de entrega"
"Contact sales on WhatsApp","Falar com comercial no WhatsApp"
"Verify account status again","Verificar status novamente"
"Falar com comercial no WhatsApp","Falar com comercial no WhatsApp"
"Check to Subscribe Our Newsletter","Receber novidades da AWA por e-mail (opcional)"
"Receber novidades por e-mail","Receber novidades por e-mail"
"Opções adicionais","Opções adicionais"
"Order Comment","Observações do pedido"
"Observações do pedido","Observações do pedido"
"Shipping Delivery Date","Data preferencial de entrega"
"Shipping Delivery Comment","Observações de entrega"
"Data preferencial de entrega","Data preferencial de entrega"
"Observações de entrega","Observações de entrega"
"Seus dados estão protegidos","Seus dados estão protegidos"
"Pedido em conexão segura (SSL)","Pedido em conexão segura (SSL)"
"Progresso da finalização do pedido","Progresso da finalização do pedido"
"Progresso do checkout","Progresso da finalização do pedido"
"Ir para %1","Ir para %1"
"Há campos com erro. Revise os destaques abaixo.","Há campos com erro. Revise os destaques abaixo."
"Revise os campos destacados antes de continuar.","Há campos com erro. Revise os destaques abaixo."
"Complete o endereço de entrega: nome, CEP, cidade e telefone.","Complete o endereço de entrega: nome, CEP, cidade e telefone."
"Informe o endereço de entrega para continuar.","Complete o endereço de entrega: nome, CEP, cidade e telefone."
"Escolha uma transportadora na lista de frete.","Escolha uma transportadora na lista de frete."
"Selecione uma forma de frete para continuar.","Escolha uma transportadora na lista de frete."
"Escolha a forma de pagamento na etapa Pagamento.","Escolha a forma de pagamento na etapa Pagamento."
"Selecione uma forma de pagamento para finalizar.","Escolha a forma de pagamento na etapa Pagamento."
"Indo para %1","Indo para %1"
"Etapa: %1","Indo para %1"
"Muitas atualizações em sequência. Aguarde 5 segundos e tente de novo.","Muitas atualizações em sequência. Aguarde 5 segundos e tente de novo."
"Não foi possível atualizar os totais. Aguarde alguns segundos ou recarregue a página.","Não foi possível atualizar os totais. Aguarde alguns segundos ou recarregue a página."
"Não foi possível atualizar o checkout. Tente novamente.","Não foi possível atualizar os totais. Aguarde alguns segundos ou recarregue a página."
"Recarregar página do pedido","Recarregar página do pedido"
"Recarregar checkout","Recarregar página do pedido"
"Conexão perdida. Os totais podem ficar desatualizados. Reconecte antes de finalizar o pedido.","Conexão perdida. Os totais podem ficar desatualizados. Reconecte antes de finalizar o pedido."
"Conexão restabelecida. A página será recarregada para atualizar os totais.","Conexão restabelecida. A página será recarregada para atualizar os totais."
"Não foi possível concluir esta etapa. Verifique os campos e tente novamente.","Não foi possível concluir esta etapa. Verifique os campos e tente novamente."
"Progresso do pedido mínimo B2B","Progresso do pedido mínimo B2B"
"Pedido mínimo B2B","Pedido mínimo B2B"
"Faltam %1 para atingir o pedido mínimo de %2.","Faltam %1 para atingir o pedido mínimo de %2."
"Step %1 of %2","Etapa %1 de %2"
"Etapa %1 de %2","Etapa %1 de %2"
"Order comment","Observações do pedido"
"Confirm for Payment","Confirmar para pagamento"
"Add New Address","Adicionar endereço"
"Editar carrinho","Editar carrinho"
"Quantidade do item","Quantidade do item"
"Alterar quantidade","Alterar quantidade"
"Aumentar quantidade","Aumentar quantidade"
"Diminuir quantidade","Diminuir quantidade"
"Opcional — visível apenas para nossa equipe comercial e faturamento.","Opcional — visível apenas para nossa equipe comercial e faturamento."
"Total do pedido","Total do pedido"
"Cupom aplicado com sucesso.","Cupom aplicado com sucesso."
"Optional — enter your company promotional code.","Opcional — informe o código promocional da sua empresa."

"Add to Compare","Adicionar para Comparar"
"Add to Wish List","Adicionar à Lista de Desejos"
"Add to Wishlist","Adicionar à Lista de Desejos"
Compare,Comparar
Hot,Quente
"Out of Stock","Fora de estoque"
